figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 9,GHr,H_ft=14,34.0,in,0.369581,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=14,35.327658,in,0.363589,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,36.662127,in,0.357607,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,37.996595,in,0.351665,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,39.331063,in,0.345765,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,40.665532,in,0.34022,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=14,42.0,in,0.33503,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
Figure 9,GHr,H_ft=6,2.312241,in,1.007991,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 9,GHr,H_ft=6,3.635167,in,1.051305,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,4.0,in,1.059929,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
