"workbook","workbook_path","backup_path","sheet","cell","figure","factor","curve_name","x_value","old_value","new_digitized_value","action"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D31","Figure 3","KHe","E_prime_ksi=0.5","0.05","460","465.990229","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D32","Figure 3","KHe","E_prime_ksi=0.5","0.055","393","402.015428","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D33","Figure 3","KHe","E_prime_ksi=0.5","0.06","335","338.874442","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D34","Figure 3","KHe","E_prime_ksi=0.5","0.065","273","275.851875","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D35","Figure 3","KHe","E_prime_ksi=0.5","0.07","207","211.871511","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D36","Figure 3","KHe","E_prime_ksi=0.5","0.075","143","149.467395","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D37","Figure 3","KHe","E_prime_ksi=0.5","0.08","88","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","D38","Figure 3","KHe","E_prime_ksi=0.5","5.0","88","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","F17","Figure 3","KHe","E_prime_ksi=1.0","0.0","5772","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","F18","Figure 3","KHe","E_prime_ksi=1.0","0.00738","5772","5371.262654","updated"
