workbook,figure,factor,curve_name,x_value,digitized_api_value,spreadsheet_value,absolute_difference,percent_difference,status,notes
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!D37
Railroad,Figure 3,KHe,E_prime_ksi=0.5,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!D38
Railroad,Figure 3,KHe,E_prime_ksi=0.5,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!D39
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.0,,5772.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!F18
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.00738,5371.262654,5371.262654,0.0,0.0,PASS,spreadsheet_cell=Tables!F19
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.00775,5191.631319,5191.631319,0.0,0.0,PASS,spreadsheet_cell=Tables!F20
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.00825,4986.966487,4986.966487,0.0,0.0,PASS,spreadsheet_cell=Tables!F21
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.01,4421.712494,4421.712494,0.0,0.0,PASS,spreadsheet_cell=Tables!F22
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.0125,3789.925806,3789.925806,0.0,0.0,PASS,spreadsheet_cell=Tables!F23
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.015,3230.830095,3230.830095,0.0,0.0,PASS,spreadsheet_cell=Tables!F24
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.0175,2719.47016,2719.47016,0.0,0.0,PASS,spreadsheet_cell=Tables!F25
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.02,2275.090667,2275.090667,0.0,0.0,PASS,spreadsheet_cell=Tables!F26
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.025,1552.6354,1552.6354,0.0,0.0,PASS,spreadsheet_cell=Tables!F27
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.03,1042.662849,1042.662849,0.0,0.0,PASS,spreadsheet_cell=Tables!F28
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.035,823.383203,823.383203,0.0,0.0,PASS,spreadsheet_cell=Tables!F29
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!F30
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!F31
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.05,465.990229,465.990229,0.0,0.0,PASS,spreadsheet_cell=Tables!F32
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.055,402.015428,402.015428,0.0,0.0,PASS,spreadsheet_cell=Tables!F33
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.06,338.874442,338.874442,0.0,0.0,PASS,spreadsheet_cell=Tables!F34
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.065,275.851875,275.851875,0.0,0.0,PASS,spreadsheet_cell=Tables!F35
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.07,211.871511,211.871511,0.0,0.0,PASS,spreadsheet_cell=Tables!F36
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.075,149.467395,149.467395,0.0,0.0,PASS,spreadsheet_cell=Tables!F37
Railroad,Figure 3,KHe,E_prime_ksi=1.0,0.08,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!F38
Railroad,Figure 3,KHe,E_prime_ksi=1.0,5.0,,88.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. Spreadsheet x-value is beyond graph axis maximum. spreadsheet_cell=Tables!F39
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.0,,4443.0,,,REVIEW,Spreadsheet point is outside the digitized curve range or is nonnumeric; treated as guardrail/non-API-derived. spreadsheet_cell=Tables!H18
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.00726,4063.879904,4063.879904,0.0,0.0,PASS,spreadsheet_cell=Tables!H19
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.00775,3829.759583,3829.759583,0.0,0.0,PASS,spreadsheet_cell=Tables!H20
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.00825,3645.285057,3645.285057,0.0,0.0,PASS,spreadsheet_cell=Tables!H21
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.01,3166.031095,3166.031095,0.0,0.0,PASS,spreadsheet_cell=Tables!H22
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.0125,2703.318214,2703.318214,0.0,0.0,PASS,spreadsheet_cell=Tables!H23
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.015,2391.657618,2391.657618,0.0,0.0,PASS,spreadsheet_cell=Tables!H24
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.0175,2113.576774,2113.576774,0.0,0.0,PASS,spreadsheet_cell=Tables!H25
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.02,1851.790055,1851.790055,0.0,0.0,PASS,spreadsheet_cell=Tables!H26
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.025,1382.693917,1382.693917,0.0,0.0,PASS,spreadsheet_cell=Tables!H27
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.03,994.741355,994.741355,0.0,0.0,PASS,spreadsheet_cell=Tables!H28
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.035,799.537498,799.537498,0.0,0.0,PASS,spreadsheet_cell=Tables!H29
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.04,647.032019,647.032019,0.0,0.0,PASS,spreadsheet_cell=Tables!H30
Railroad,Figure 3,KHe,E_prime_ksi=2.0,0.045,530.01545,530.01545,0.0,0.0,PASS,spreadsheet_cell=Tables!H31
